2026-05-30 12:56:06 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
2026-05-30 12:56:06 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 12:56:06 | INFO     | codecompanion.http | → GET /api/me [831e840a]
2026-05-30 12:56:06 | INFO     | codecompanion.http | ← GET /api/me 200 6.9ms [831e840a]
2026-05-30 12:56:06 | INFO     | codecompanion.http | → GET /api/grades [d131cc63]
2026-05-30 12:56:06 | INFO     | codecompanion.http | ← GET /api/grades 200 9.6ms [d131cc63]
2026-05-30 12:56:06 | INFO     | codecompanion.http | → GET /api/users [b56398e3]
2026-05-30 12:56:06 | INFO     | codecompanion.http | → GET /api/classes [c68fff90]
2026-05-30 12:56:06 | INFO     | codecompanion.http | → GET /api/questions [cf3bde0c]
2026-05-30 12:56:06 | INFO     | codecompanion.http | → GET /api/grades [ef36c5cf]
2026-05-30 12:56:06 | INFO     | codecompanion.http | ← GET /api/users 200 15.2ms [b56398e3]
2026-05-30 12:56:06 | INFO     | codecompanion.http | ← GET /api/classes 200 15.1ms [c68fff90]
2026-05-30 12:56:06 | INFO     | codecompanion.http | ← GET /api/questions 200 14.7ms [cf3bde0c]
2026-05-30 12:56:06 | INFO     | codecompanion.http | ← GET /api/grades 200 6.4ms [ef36c5cf]
2026-05-30 12:56:06 | INFO     | codecompanion.http | → GET /api/grades [e084bd78]
2026-05-30 12:56:06 | INFO     | codecompanion.http | ← GET /api/grades 200 2.9ms [e084bd78]
2026-05-30 12:56:06 | INFO     | codecompanion.http | → GET /api/questions [326aa95e]
2026-05-30 12:56:06 | INFO     | codecompanion.http | ← GET /api/questions 200 2.2ms [326aa95e]
2026-05-30 12:56:07 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
2026-05-30 12:56:07 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 12:56:07 | INFO     | codecompanion.http | → GET /api/me [aa814370]
2026-05-30 12:56:07 | INFO     | codecompanion.http | ← GET /api/me 200 2.8ms [aa814370]
2026-05-30 12:56:07 | INFO     | codecompanion.http | → GET /api/questions [1e5419bd]
2026-05-30 12:56:07 | INFO     | codecompanion.http | ← GET /api/questions 200 2.3ms [1e5419bd]
2026-05-30 12:56:07 | INFO     | codecompanion.http | → GET /api/grades [11d8f68d]
2026-05-30 12:56:07 | INFO     | codecompanion.http | → GET /api/users [e5c5fd29]
2026-05-30 12:56:07 | INFO     | codecompanion.http | → GET /api/questions [a290be73]
2026-05-30 12:56:07 | INFO     | codecompanion.http | → GET /api/classes [0a1a93b8]
2026-05-30 12:56:07 | INFO     | codecompanion.http | ← GET /api/grades 200 6.5ms [11d8f68d]
2026-05-30 12:56:07 | INFO     | codecompanion.http | ← GET /api/classes 200 4.0ms [0a1a93b8]
2026-05-30 12:56:07 | INFO     | codecompanion.http | ← GET /api/questions 200 5.2ms [a290be73]
2026-05-30 12:56:07 | INFO     | codecompanion.http | ← GET /api/users 200 6.6ms [e5c5fd29]
2026-05-30 12:56:07 | INFO     | codecompanion.http | → GET /api/grades [216b2ae2]
2026-05-30 12:56:07 | INFO     | codecompanion.http | ← GET /api/grades 200 1.9ms [216b2ae2]
2026-05-30 12:56:07 | INFO     | codecompanion.http | → GET /api/grades [8fa1ce82]
2026-05-30 12:56:07 | INFO     | codecompanion.http | ← GET /api/grades 200 2.3ms [8fa1ce82]
2026-05-30 12:56:10 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 12:56:10 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
